5	370	1.9	0.5356	17.04	0
7	371	2.97	1.41064	38.6467	0
5	370	1.9	1.39616	24.0507	0
5	371	2.97	1.84673	29.5887	0
5	370	1.9	1.54948	9.30935	0
5	370	1.9	1.30301	-1.93674	0
4	370	1.9	1.12855	-6.77905	0
5	370	1.9	1.02178	-7.69641	0
5	370	1.9	0.967415	-6.61086	0
7	370	1.9	0.94807	-4.80836	0
11	370	1.9	0.948785	-3.02691	0
16	369	0.83	0.423076	-18.6451	0
7	368	-0.24	0.0958442	-22.2363	0
11	367	-1.31	-0.610546	-36.5769	0
13	367	-1.31	-1.01458	-36.0529	0
9	367	-1.31	-1.19885	-28.7288	0
11	366	-2.38	-1.78047	-36.7251	0
15	365	-3.45	-2.62829	-50.2658	0
7	364	-4.52	-3.62912	-63.7219	0
11	363	-5.59	-4.70035	-74.4959	0
12	363	-5.59	-5.25418	-64.8684	0
10	362	-6.66	-5.99456	-64.6972	0
11	360	-8.8	-7.40766	-85.9912	0
13	359	-9.87	-8.71184	-96.0314	0
13	359	-9.87	-9.36959	-81.8336	0
8	358	-10.94	-10.1336	-76.2079	0
11	357	-12.01	-11.5283	-92.7082	0
11	356	-13.08	-12.7983	-99.203	0
11	355	-14.15	-13.9568	-99.7757	0
13	355	-14.15	-14.4963	-80.4457	0
13	354	-15.22	-15.1779	-72.7094	0
7	353	-16.29	-15.9877	-71.8765	0
12	353	-16.29	-16.3581	-57.3731	0
10	352	-17.36	-16.9874	-56.4097	0
11	351	-18.43	-17.8092	-61.9234	0
16	351	-18.43	-18.2194	-52.3222	0
7	350	-19.5	-18.8933	-54.6274	0
11	350	-19.5	-19.2178	-44.969	100
11	350	-19.5	-19.3162	-31.6518	100
11	350	-19.5	-19.2903	-19.2509	100
11	349	-20.57	-19.7473	-26.751	100
13	350	-19.5	-19.4636	-7.94016	100
13	350	-19.5	-19.2313	2.35504	100
7	351	-18.43	-18.5329	23.7136	100
14	351	-18.43	-18.0949	28.9752	100
9	353	-16.29	-16.7926	59.8079	100
10	354	-15.22	-15.4886	79.4204	100
16	356	-13.08	-13.7083	107.01	100
7	358	-10.94	-11.1292	149.926	100
11	360	-8.8	-8.63344	174.491	100
12	363	-5.59	-5.73921	202.749	100
10	366	-2.38	-2.64065	227.172	100
11	368	-0.24	-0.00365562	227.977	100
15	371	2.97	2.29288	217.657	100
8	374	6.18	5.44327	238.276	100
10	376	8.32	8.08386	235.134	100
12	379	11.53	10.8965	238.615	100
11	382	14.74	13.8243	244.487	100
11	383	15.81	15.7471	216.237	100
14	386	19.02	18.6282	228.809	100
12	388	21.16	21.1009	223.789	100
7	390	23.3	23.2901	211.586	100
12	391	24.37	24.7739	181.403	100
10	393	26.51	26.3702	165.839	100
11	395	28.65	28.097	160.12	100
15	395	28.65	28.8659	126.016	100
8	396	29.72	29.5745	102.469	100
11	397	30.79	30.3118	88.449	100
12	398	31.86	31.1136	81.6066	100
10	398	31.86	31.4481	62.4014	100
11	398	31.86	31.5	41.2269	0
15	398	31.86	31.4104	23.2965	0
7	397	30.79	30.737	-6.64581	0
11	396	29.72	29.729	-36.2858	0
14	395	28.65	28.5676	-59.9641	0
9	394	27.58	27.3672	-76.2233	0
11	391	24.37	25.1173	-119.924	0
12	390	23.3	23.3054	-133.705	0
13	387	20.09	20.7857	-164.966	0
8	384	16.88	17.3088	-215.244	0
11	382	14.74	14.3579	-230.399	0
11	379	11.53	11.3034	-243.307	0
11	376	8.32	8.21302	-252.636	0
15	374	6.18	5.6608	-241.43	0
7	371	2.97	2.39677	-256.97	0
11	368	-0.24	-0.269172	-247.797	0
12	365	-3.45	-3.06117	-245.99	0
11	362	-6.66	-5.95106	-247.959	0
10	359	-9.87	-8.90654	-251.294	0
14	356	-13.08	-12.4353	-271.648	0
12	354	-15.22	-15.2497	-261.829	0
8	350	-19.5	-18.6425	-274.006	0
11	348	-21.64	-21.3501	-259.926	0
11	345	-24.85	-24.135	-253.458	0
11	343	-26.99	-26.461	-234.755	0
13	341	-29.13	-29.0445	-231.083	0
13	339	-31.27	-31.2922	-218.074	0
8	337	-33.41	-33.3343	-203.282	0
11	335	-35.55	-35.2718	-190.568	0
11	334	-36.62	-36.6362	-164.277	0
11	332	-38.76	-38.1981	-153.883	0
15	331	-39.83	-39.4012	-135.873	0
7	330	-40.9	-40.3972	-117.864	0
11	328	-43.04	-42.3685	-137.472	0
13	328	-43.04	-43.3865	-119.579	0
9	327	-44.11	-44.2975	-104.824	0
11	326	-45.18	-45.1757	-94.424	0
15	326	-45.18	-45.5265	-71.0496	0
8	326	-45.18	-45.5636	-46.2404	100
10	325	-46.25	-45.9832	-42.6773	100
12	325	-46.25	-46.1583	-32.6408	100
11	326	-45.18	-45.65	-4.52924	100
11	327	-44.11	-44.7282	26.4553	100
13	328	-43.04	-43.5994	52.6887	100
12	329	-41.97	-41.8648	88.6035	100
8	331	-39.83	-39.7977	121.961	100
11	333	-37.69	-37.5904	147.579	100
11	335	-35.55	-35.3597	164.571	100
11	338	-32.34	-32.6288	191.261	100
14	341	-29.13	-29.6142	217.212	100
12	345	-24.85	-25.4012	271.803	100
7	348	-21.64	-21.5506	294.893	100
12	352	-17.36	-17.5014	315.859	100
11	355	-14.15	-13.9072	314.681	100
11	359	-9.87	-9.57122	337.531	100
15	363	-5.59	-5.29853	350.011	100
7	367	-1.31	-1.11076	355.225	100
11	371	2.97	2.46309	339	100
12	375	7.25	6.70884	350.085	100
10	380	12.6	11.4122	371.677	100
11	384	16.88	15.8483	376.866	100
13	388	21.16	20.6083	390.46	100
13	391	24.37	24.492	371.207	100
8	395	28.65	28.3294	357.52	100
13	398	31.86	31.6396	332.067	100
9	400	34	34.6425	306.149	100
11	403	37.21	37.5007	285.105	100
15	406	40.42	40.318	270.457	100
7	408	42.56	42.6151	244.617	100
11	410	44.7	44.6113	218.654	100
12	412	46.84	46.4674	197.733	100
10	414	48.98	48.2858	183.263	100
11	415	50.05	50.1214	174.63	100
16	416	51.12	51.4605	153.363	100
7	417	52.19	52.5021	130.407	100
11	418	53.26	53.3968	111.174	100
11	418	53.26	53.7079	80.4074	100
11	418	53.26	53.6868	50.3275	100
11	418	53.26	53.5156	26.4741	0
14	418	53.26	53.3084	10.1971	0
12	418	53.26	53.1251	0.635289	0
7	417	52.19	52.4533	-20.97	0
12	415	50.05	50.9551	-60.9649	0
10	413	47.91	48.4399	-118.685	0
11	410	44.7	45.3588	-173.301	0
16	407	41.49	42.0322	-215.748	0
7	403	37.21	38.1218	-261.247	0
10	400	34	34.4601	-282.188	0
13	398	31.86	31.0455	-287.612	0
10	394	27.58	27.2929	-301.803	0
11	390	23.3	23.3368	-317.28	0
15	386	19.02	19.2795	-330.313	0
7	382	14.74	14.6529	-356.692	0
11	377	9.39	9.69109	-384.089	0
14	373	5.11	5.10419	-389.536	0
8	368	-0.24	0.273073	-400.761	0
11	364	-4.52	-4.16653	-395.425	0
14	360	-8.8	-8.33598	-383.445	0
12	355	-14.15	-13.4159	-404.813	0
